"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Nepal"," 2010","83.4 [78.1-87.7]","81.8 [76.2-86.4]","85.0 [79.9-89.0]"
"Nepal"," 2009","83.4 [78.1-87.7]","81.8 [76.2-86.4]","84.9 [79.9-88.9]"
"Nepal"," 2008","83.4 [78.0-87.7]","81.9 [76.2-86.4]","84.9 [79.8-88.9]"
"Nepal"," 2007","83.4 [78.0-87.7]","81.9 [76.2-86.4]","84.9 [79.7-88.9]"
"Nepal"," 2006","83.4 [78.0-87.7]","81.9 [76.2-86.4]","84.8 [79.6-88.9]"
"Nepal"," 2005","83.3 [77.9-87.7]","81.9 [76.2-86.4]","84.8 [79.6-88.8]"
"Nepal"," 2004","83.3 [77.9-87.7]","81.9 [76.2-86.5]","84.7 [79.5-88.8]"
"Nepal"," 2003","83.3 [77.8-87.7]","81.9 [76.2-86.5]","84.7 [79.4-88.8]"
"Nepal"," 2002","83.3 [77.8-87.7]","81.9 [76.2-86.5]","84.6 [79.3-88.8]"
"Nepal"," 2001","83.3 [77.7-87.7]","81.9 [76.2-86.6]","84.6 [79.2-88.8]"
"Netherlands"," 2016","80.2 [77.5-82.6]","76.6 [73.6-79.3]","83.9 [81.5-86.1]"
"Netherlands"," 2015","80.2 [77.6-82.6]","76.6 [73.8-79.3]","83.9 [81.5-86.0]"
"Netherlands"," 2014","80.2 [77.6-82.5]","76.7 [73.9-79.3]","83.9 [81.6-85.9]"
"Netherlands"," 2013","80.2 [77.7-82.5]","76.8 [74.0-79.3]","83.8 [81.6-85.9]"
"Netherlands"," 2012","80.2 [77.8-82.5]","76.8 [74.2-79.3]","83.8 [81.6-85.8]"
"Netherlands"," 2011","80.3 [77.9-82.4]","76.9 [74.3-79.3]","83.8 [81.6-85.8]"
"Netherlands"," 2010","80.3 [77.9-82.4]","76.9 [74.4-79.3]","83.8 [81.6-85.7]"
"Netherlands"," 2009","80.3 [78.0-82.4]","77.0 [74.6-79.3]","83.7 [81.6-85.7]"
"Netherlands"," 2008","80.3 [78.0-82.4]","77.1 [74.7-79.3]","83.7 [81.5-85.6]"
"Netherlands"," 2007","80.3 [78.0-82.4]","77.1 [74.8-79.3]","83.6 [81.5-85.6]"
"Netherlands"," 2006","80.3 [78.1-82.4]","77.2 [74.8-79.4]","83.6 [81.4-85.5]"
"Netherlands"," 2005","80.3 [78.1-82.4]","77.2 [74.9-79.4]","83.6 [81.4-85.5]"
"Netherlands"," 2004","80.3 [78.1-82.4]","77.3 [75.0-79.5]","83.5 [81.3-85.5]"
"Netherlands"," 2003","80.4 [78.1-82.4]","77.4 [75.1-79.5]","83.5 [81.3-85.5]"
"Netherlands"," 2002","80.4 [78.1-82.5]","77.4 [75.1-79.6]","83.4 [81.2-85.4]"
"Netherlands"," 2001","80.4 [78.1-82.5]","77.5 [75.2-79.7]","83.4 [81.1-85.4]"
"New Zealand"," 2016","88.7 [87.1-90.2]","84.9 [82.8-86.9]","92.7 [91.5-93.8]"
"New Zealand"," 2015","88.6 [87.0-90.1]","84.8 [82.7-86.7]","92.7 [91.5-93.7]"
"New Zealand"," 2014","88.5 [86.9-90.0]","84.6 [82.6-86.5]","92.6 [91.5-93.7]"
"New Zealand"," 2013","88.4 [86.8-89.9]","84.5 [82.5-86.3]","92.6 [91.5-93.6]"
"New Zealand"," 2012","88.3 [86.8-89.7]","84.3 [82.3-86.1]","92.6 [91.4-93.6]"
"New Zealand"," 2011","88.2 [86.7-89.6]","84.2 [82.2-85.9]","92.5 [91.4-93.5]"
"New Zealand"," 2010","88.1 [86.6-89.5]","84.0 [82.1-85.7]","92.5 [91.4-93.5]"
"New Zealand"," 2009","88.0 [86.5-89.4]","83.8 [81.9-85.6]","92.5 [91.3-93.4]"
"New Zealand"," 2008","87.9 [86.4-89.3]","83.7 [81.8-85.4]","92.4 [91.3-93.4]"
"New Zealand"," 2007","87.8 [86.3-89.2]","83.5 [81.6-85.2]","92.4 [91.2-93.4]"
"New Zealand"," 2006","87.7 [86.2-89.1]","83.3 [81.4-85.1]","92.3 [91.2-93.3]"
"New Zealand"," 2005","87.6 [86.1-89.0]","83.1 [81.3-84.9]","92.3 [91.1-93.3]"
"New Zealand"," 2004","87.5 [86.0-88.9]","83.0 [81.1-84.7]","92.3 [91.1-93.3]"
"New Zealand"," 2003","87.4 [85.8-88.8]","82.8 [80.9-84.6]","92.2 [91.0-93.2]"
"New Zealand"," 2002","87.3 [85.7-88.7]","82.6 [80.7-84.4]","92.2 [91.0-93.2]"
"New Zealand"," 2001","87.2 [85.6-88.7]","82.5 [80.5-84.3]","92.1 [90.9-93.2]"
"Nicaragua"," 2010","No data","No data","No data"
"Niger"," 2010","No data","No data","No data"
"Nigeria"," 2010","No data","No data","No data"
"Niue"," 2016","87.3 [84.7-89.5]","86.1 [83.4-88.5]","88.5 [86.1-90.5]"
"Niue"," 2015","87.3 [84.7-89.5]","86.1 [83.3-88.4]","88.5 [86.0-90.5]"
"Niue"," 2014","87.2 [84.6-89.4]","86.0 [83.3-88.4]","88.4 [86.0-90.5]"
"Niue"," 2013","87.2 [84.6-89.4]","86.0 [83.2-88.3]","88.4 [85.9-90.4]"
"Niue"," 2012","87.1 [84.5-89.4]","85.9 [83.2-88.3]","88.3 [85.9-90.4]"
"Niue"," 2011","87.1 [84.5-89.3]","85.9 [83.1-88.3]","88.3 [85.8-90.4]"
"Niue"," 2010","87.0 [84.4-89.3]","85.8 [83.0-88.2]","88.2 [85.8-90.3]"
"Niue"," 2009","87.0 [84.3-89.3]","85.8 [83.0-88.2]","88.2 [85.7-90.3]"
"Niue"," 2008","87.0 [84.3-89.2]","85.7 [82.9-88.2]","88.2 [85.7-90.3]"
"Niue"," 2007","86.9 [84.2-89.2]","85.7 [82.8-88.1]","88.1 [85.6-90.3]"
"Niue"," 2006","86.9 [84.1-89.2]","85.6 [82.7-88.1]","88.1 [85.5-90.2]"
"Niue"," 2005","86.8 [84.0-89.2]","85.6 [82.6-88.1]","88.0 [85.4-90.2]"
"Niue"," 2004","86.8 [84.0-89.2]","85.5 [82.6-88.1]","88.0 [85.4-90.2]"
"Niue"," 2003","86.7 [83.9-89.1]","85.5 [82.5-88.1]","88.0 [85.3-90.2]"
"Niue"," 2002","86.7 [83.8-89.1]","85.4 [82.4-88.0]","87.9 [85.2-90.2]"
"Niue"," 2001","86.6 [83.7-89.1]","85.4 [82.3-88.0]","87.9 [85.2-90.2]"
"Norway"," 2016","83.5 [81.2-85.6]","78.6 [75.9-81.2]","88.6 [86.8-90.2]"
"Norway"," 2015","83.5 [81.3-85.5]","78.7 [76.0-81.1]","88.6 [86.9-90.1]"
"Norway"," 2014","83.5 [81.4-85.5]","78.7 [76.1-81.1]","88.6 [86.9-90.1]"
"Norway"," 2013","83.5 [81.4-85.5]","78.8 [76.3-81.1]","88.6 [86.9-90.1]"
"Norway"," 2012","83.6 [81.5-85.4]","78.8 [76.4-81.1]","88.6 [86.9-90.0]"
"Norway"," 2011","83.6 [81.5-85.4]","78.9 [76.5-81.1]","88.5 [86.9-90.0]"
"Norway"," 2010","83.6 [81.6-85.4]","78.9 [76.6-81.1]","88.5 [86.9-90.0]"
"Norway"," 2009","83.6 [81.6-85.4]","79.0 [76.7-81.1]","88.5 [86.9-89.9]"
"Norway"," 2008","83.6 [81.7-85.4]","79.0 [76.8-81.1]","88.5 [86.9-89.9]"
"Norway"," 2007","83.6 [81.7-85.4]","79.1 [76.8-81.1]","88.5 [86.8-89.9]"
"Norway"," 2006","83.6 [81.7-85.4]","79.1 [76.9-81.1]","88.4 [86.8-89.9]"
"Norway"," 2005","83.7 [81.8-85.4]","79.2 [77.0-81.2]","88.4 [86.8-89.9]"
"Norway"," 2004","83.7 [81.8-85.4]","79.2 [77.0-81.2]","88.4 [86.8-89.9]"
"Norway"," 2003","83.7 [81.8-85.4]","79.2 [77.1-81.3]","88.4 [86.7-89.9]"
"Norway"," 2002","83.7 [81.8-85.5]","79.3 [77.1-81.3]","88.4 [86.7-89.9]"
"Norway"," 2001","83.7 [81.8-85.5]","79.3 [77.1-81.4]","88.3 [86.6-89.9]"
"Oman"," 2016","83.8 [81.2-86.1]","78.3 [75.0-81.2]","89.8 [87.9-91.5]"
"Oman"," 2015","83.9 [81.3-86.2]","78.3 [75.1-81.2]","89.8 [87.9-91.4]"
"Oman"," 2014","83.8 [81.2-86.1]","78.4 [75.2-81.2]","89.8 [87.9-91.4]"
"Oman"," 2013","83.7 [81.2-86.0]","78.4 [75.3-81.2]","89.7 [87.8-91.3]"
"Oman"," 2012","83.7 [81.2-86.0]","78.4 [75.3-81.3]","89.7 [87.8-91.3]"
"Oman"," 2011","83.9 [81.4-86.1]","78.5 [75.4-81.3]","89.6 [87.8-91.3]"
"Oman"," 2010","84.1 [81.6-86.3]","78.5 [75.4-81.3]","89.6 [87.7-91.2]"
"Oman"," 2009","84.1 [81.7-86.3]","78.5 [75.5-81.3]","89.6 [87.7-91.2]"
"Oman"," 2008","84.1 [81.6-86.3]","78.6 [75.5-81.4]","89.5 [87.6-91.2]"
"Oman"," 2007","84.0 [81.5-86.3]","78.6 [75.5-81.4]","89.5 [87.6-91.1]"
"Oman"," 2006","84.0 [81.4-86.2]","78.7 [75.6-81.5]","89.4 [87.5-91.1]"
"Oman"," 2005","83.9 [81.4-86.2]","78.7 [75.6-81.5]","89.4 [87.5-91.1]"
"Oman"," 2004","84.0 [81.4-86.2]","78.7 [75.6-81.6]","89.4 [87.4-91.1]"
"Oman"," 2003","84.0 [81.4-86.3]","78.8 [75.6-81.6]","89.3 [87.3-91.1]"
"Oman"," 2002","84.0 [81.4-86.3]","78.8 [75.6-81.7]","89.3 [87.3-91.1]"
"Oman"," 2001","84.0 [81.3-86.4]","78.8 [75.6-81.8]","89.3 [87.2-91.1]"
"Pakistan"," 2016","86.9 [82.5-90.4]","85.4 [80.6-89.2]","88.6 [84.6-91.7]"
"Pakistan"," 2015","86.9 [82.4-90.3]","85.3 [80.5-89.1]","88.6 [84.5-91.7]"
"Pakistan"," 2014","86.8 [82.4-90.3]","85.2 [80.4-89.0]","88.5 [84.5-91.6]"
"Pakistan"," 2013","86.7 [82.3-90.2]","85.1 [80.3-88.9]","88.5 [84.4-91.6]"
"Pakistan"," 2012","86.7 [82.2-90.2]","85.0 [80.2-88.9]","88.4 [84.3-91.6]"
"Pakistan"," 2011","86.6 [82.1-90.1]","85.0 [80.1-88.8]","88.4 [84.3-91.5]"
"Pakistan"," 2010","86.5 [82.0-90.1]","84.9 [80.0-88.7]","88.3 [84.2-91.5]"
"Pakistan"," 2009","86.5 [81.9-90.0]","84.8 [79.8-88.7]","88.3 [84.1-91.5]"
"Pakistan"," 2008","86.4 [81.8-90.0]","84.7 [79.7-88.6]","88.2 [84.1-91.4]"
"Pakistan"," 2007","86.3 [81.7-89.9]","84.6 [79.6-88.5]","88.2 [84.0-91.4]"
"Pakistan"," 2006","86.3 [81.6-89.9]","84.5 [79.5-88.5]","88.1 [83.9-91.4]"
"Pakistan"," 2005","86.2 [81.5-89.8]","84.4 [79.3-88.4]","88.1 [83.8-91.3]"
"Pakistan"," 2004","86.1 [81.4-89.8]","84.3 [79.2-88.4]","88.0 [83.7-91.3]"
"Pakistan"," 2003","86.0 [81.3-89.7]","84.2 [79.0-88.3]","88.0 [83.7-91.3]"
"Pakistan"," 2002","86.0 [81.2-89.7]","84.1 [78.9-88.2]","87.9 [83.6-91.3]"
"Pakistan"," 2001","85.9 [81.0-89.7]","84.0 [78.8-88.2]","87.9 [83.5-91.2]"
"Palau"," 2016","79.0 [74.6-82.8]","75.9 [71.2-80.1]","82.1 [78.1-85.6]"
"Palau"," 2015","79.2 [74.8-82.9]","76.2 [71.5-80.3]","82.1 [78.1-85.6]"
"Palau"," 2014","79.3 [75.0-83.0]","76.4 [71.8-80.5]","82.2 [78.2-85.5]"
"Palau"," 2013","79.4 [75.2-83.1]","76.7 [72.2-80.7]","82.2 [78.2-85.5]"
"Palau"," 2012","79.6 [75.4-83.2]","77.0 [72.5-80.9]","82.2 [78.3-85.5]"
"Palau"," 2011","79.7 [75.5-83.3]","77.2 [72.8-81.2]","82.2 [78.3-85.5]"
"Palau"," 2010","79.9 [75.7-83.5]","77.5 [73.1-81.4]","82.2 [78.3-85.5]"
"Palau"," 2009","80.0 [75.9-83.6]","77.8 [73.4-81.6]","82.2 [78.3-85.5]"
"Palau"," 2008","80.1 [76.0-83.7]","78.0 [73.7-81.8]","82.2 [78.3-85.5]"
"Palau"," 2007","80.2 [76.2-83.8]","78.3 [74.0-82.0]","82.2 [78.3-85.5]"
"Palau"," 2006","80.4 [76.3-83.9]","78.5 [74.3-82.3]","82.2 [78.3-85.5]"
"Palau"," 2005","80.5 [76.4-84.0]","78.8 [74.6-82.5]","82.2 [78.3-85.5]"
"Palau"," 2004","80.6 [76.6-84.1]","79.1 [74.9-82.7]","82.2 [78.3-85.5]"
"Palau"," 2003","80.7 [76.7-84.2]","79.3 [75.1-82.9]","82.2 [78.3-85.5]"
"Palau"," 2002","80.9 [76.8-84.3]","79.6 [75.4-83.2]","82.2 [78.2-85.5]"
"Palau"," 2001","81.0 [76.9-84.5]","79.8 [75.7-83.4]","82.1 [78.2-85.5]"
"Panama"," 2010","No data","No data","No data"
"Papua New Guinea"," 2010","No data","No data","No data"
"Paraguay"," 2016","83.5 [81.3-85.5]","79.0 [76.3-81.4]","88.2 [86.4-89.7]"
"Paraguay"," 2015","83.5 [81.4-85.5]","79.1 [76.5-81.5]","88.1 [86.4-89.7]"
"Paraguay"," 2014","83.6 [81.4-85.5]","79.2 [76.7-81.5]","88.1 [86.4-89.7]"
"Paraguay"," 2013","83.6 [81.5-85.5]","79.3 [76.8-81.6]","88.1 [86.4-89.6]"
"Paraguay"," 2012","83.7 [81.6-85.6]","79.4 [77.0-81.7]","88.1 [86.4-89.6]"
"Paraguay"," 2011","83.7 [81.7-85.6]","79.6 [77.1-81.8]","88.1 [86.4-89.6]"
"Paraguay"," 2010","83.8 [81.7-85.7]","79.7 [77.3-81.9]","88.1 [86.4-89.6]"
"Paraguay"," 2009","83.8 [81.8-85.7]","79.8 [77.4-82.0]","88.0 [86.3-89.6]"
"Paraguay"," 2008","83.9 [81.8-85.8]","79.9 [77.5-82.1]","88.0 [86.3-89.5]"
"Paraguay"," 2007","83.9 [81.9-85.8]","80.0 [77.6-82.2]","88.0 [86.3-89.5]"
"Paraguay"," 2006","84.0 [81.9-85.9]","80.1 [77.7-82.3]","88.0 [86.2-89.5]"
"Paraguay"," 2005","84.0 [81.9-85.9]","80.2 [77.8-82.5]","88.0 [86.2-89.5]"
"Paraguay"," 2004","84.1 [82.0-86.0]","80.4 [77.9-82.6]","87.9 [86.2-89.5]"
"Paraguay"," 2003","84.1 [82.0-86.1]","80.5 [78.0-82.7]","87.9 [86.1-89.5]"
"Paraguay"," 2002","84.2 [82.0-86.2]","80.6 [78.1-82.9]","87.9 [86.0-89.6]"
"Paraguay"," 2001","84.2 [82.0-86.2]","80.7 [78.1-83.0]","87.9 [86.0-89.6]"
"Peru"," 2016","84.7 [82.5-86.8]","82.7 [80.3-84.9]","86.8 [84.8-88.7]"
"Peru"," 2015","84.7 [82.5-86.7]","82.7 [80.3-84.9]","86.8 [84.8-88.6]"
"Peru"," 2014","84.7 [82.5-86.7]","82.7 [80.3-84.9]","86.8 [84.8-88.6]"
"Peru"," 2013","84.7 [82.5-86.7]","82.7 [80.3-84.8]","86.8 [84.8-88.6]"
"Peru"," 2012","84.7 [82.5-86.6]","82.7 [80.4-84.8]","86.8 [84.8-88.6]"
"Peru"," 2011","84.7 [82.5-86.6]","82.7 [80.4-84.8]","86.8 [84.8-88.6]"
"Peru"," 2010","84.7 [82.5-86.6]","82.7 [80.4-84.8]","86.8 [84.8-88.5]"
"Peru"," 2009","84.7 [82.5-86.6]","82.7 [80.4-84.8]","86.8 [84.8-88.5]"
"Peru"," 2008","84.7 [82.5-86.6]","82.7 [80.4-84.8]","86.8 [84.8-88.5]"
"Peru"," 2007","84.7 [82.5-86.6]","82.7 [80.3-84.8]","86.8 [84.8-88.5]"
"Peru"," 2006","84.7 [82.5-86.6]","82.7 [80.3-84.8]","86.8 [84.7-88.5]"
"Peru"," 2005","84.7 [82.5-86.6]","82.7 [80.3-84.8]","86.8 [84.7-88.6]"
"Peru"," 2004","84.7 [82.4-86.7]","82.7 [80.3-84.8]","86.7 [84.7-88.6]"
"Peru"," 2003","84.7 [82.4-86.7]","82.6 [80.2-84.8]","86.7 [84.6-88.6]"
"Peru"," 2002","84.7 [82.4-86.7]","82.6 [80.2-84.9]","86.7 [84.6-88.6]"
"Peru"," 2001","84.7 [82.3-86.7]","82.6 [80.1-84.9]","86.7 [84.5-88.6]"
"Philippines"," 2016","93.4 [91.9-94.6]","92.8 [91.2-94.1]","94.1 [92.7-95.2]"
"Philippines"," 2015","93.3 [91.8-94.5]","92.6 [91.0-93.9]","94.1 [92.7-95.2]"
"Philippines"," 2014","93.2 [91.8-94.5]","92.5 [90.9-93.8]","94.1 [92.7-95.2]"
"Philippines"," 2013","93.2 [91.7-94.4]","92.3 [90.7-93.7]","94.1 [92.7-95.2]"
"Philippines"," 2012","93.1 [91.6-94.3]","92.1 [90.5-93.5]","94.1 [92.7-95.2]"
"Philippines"," 2011","93.0 [91.5-94.3]","92.0 [90.3-93.4]","94.0 [92.7-95.2]"
"Philippines"," 2010","92.9 [91.4-94.2]","91.8 [90.1-93.3]","94.0 [92.7-95.2]"
"Philippines"," 2009","92.8 [91.3-94.1]","91.7 [89.9-93.1]","94.0 [92.7-95.2]"
"Philippines"," 2008","92.7 [91.1-94.0]","91.5 [89.7-93.0]","94.0 [92.6-95.2]"
"Philippines"," 2007","92.6 [91.0-94.0]","91.3 [89.5-92.8]","94.0 [92.6-95.1]"
"Philippines"," 2006","92.5 [90.9-93.9]","91.1 [89.3-92.7]","94.0 [92.6-95.1]"
"Philippines"," 2005","92.4 [90.8-93.8]","91.0 [89.1-92.6]","94.0 [92.6-95.1]"
"Philippines"," 2004","92.3 [90.6-93.7]","90.8 [88.8-92.4]","94.0 [92.5-95.1]"
"Philippines"," 2003","92.2 [90.5-93.7]","90.6 [88.6-92.3]","94.0 [92.5-95.1]"
"Philippines"," 2002","92.1 [90.4-93.6]","90.4 [88.3-92.1]","94.0 [92.5-95.1]"
"Philippines"," 2001","92.0 [90.2-93.5]","90.2 [88.1-92.0]","93.9 [92.4-95.2]"
"Poland"," 2016","78.8 [75.6-81.8]","73.7 [70.0-77.1]","84.2 [81.4-86.7]"
"Poland"," 2015","78.9 [75.7-81.8]","73.8 [70.2-77.1]","84.2 [81.4-86.6]"
"Poland"," 2014","78.9 [75.8-81.8]","73.9 [70.4-77.2]","84.2 [81.5-86.6]"
"Poland"," 2013","79.0 [75.9-81.8]","74.0 [70.6-77.2]","84.2 [81.5-86.6]"
"Poland"," 2012","79.1 [76.0-81.8]","74.1 [70.8-77.3]","84.2 [81.5-86.6]"
"Poland"," 2011","79.1 [76.1-81.8]","74.2 [70.9-77.3]","84.2 [81.6-86.6]"
"Poland"," 2010","79.2 [76.2-81.9]","74.3 [71.1-77.4]","84.3 [81.6-86.6]"
"Poland"," 2009","79.2 [76.3-81.9]","74.4 [71.2-77.4]","84.3 [81.6-86.6]"
"Poland"," 2008","79.3 [76.4-81.9]","74.5 [71.4-77.5]","84.3 [81.6-86.6]"
"Poland"," 2007","79.4 [76.4-82.0]","74.6 [71.5-77.6]","84.3 [81.7-86.6]"
"Poland"," 2006","79.4 [76.5-82.0]","74.7 [71.6-77.7]","84.3 [81.7-86.6]"
"Poland"," 2005","79.5 [76.6-82.1]","74.8 [71.7-77.7]","84.3 [81.7-86.6]"
"Poland"," 2004","79.5 [76.6-82.1]","74.9 [71.8-77.8]","84.3 [81.7-86.7]"
"Poland"," 2003","79.6 [76.7-82.2]","75.0 [71.9-77.9]","84.3 [81.7-86.7]"
"Poland"," 2002","79.6 [76.7-82.3]","75.1 [72.0-78.0]","84.3 [81.6-86.7]"
"Poland"," 2001","79.7 [76.7-82.3]","75.2 [72.1-78.1]","84.3 [81.6-86.7]"
"Portugal"," 2016","84.3 [82.0-86.4]","78.1 [75.1-80.8]","90.7 [89.1-92.1]"
"Portugal"," 2015","84.3 [82.0-86.3]","78.1 [75.2-80.8]","90.7 [89.1-92.1]"
"Portugal"," 2014","84.3 [82.1-86.3]","78.1 [75.3-80.7]","90.6 [89.1-92.0]"
"Portugal"," 2013","84.3 [82.1-86.3]","78.2 [75.4-80.7]","90.6 [89.0-91.9]"
"Portugal"," 2012","84.3 [82.1-86.2]","78.2 [75.4-80.7]","90.5 [89.0-91.9]"
"Portugal"," 2011","84.3 [82.1-86.2]","78.2 [75.5-80.7]","90.5 [88.9-91.8]"
"Portugal"," 2010","84.2 [82.1-86.1]","78.3 [75.6-80.7]","90.4 [88.9-91.8]"
"Portugal"," 2009","84.2 [82.1-86.1]","78.3 [75.7-80.7]","90.4 [88.9-91.7]"
"Portugal"," 2008","84.2 [82.1-86.1]","78.3 [75.7-80.7]","90.3 [88.8-91.7]"
"Portugal"," 2007","84.2 [82.1-86.1]","78.4 [75.8-80.7]","90.3 [88.7-91.7]"
"Portugal"," 2006","84.2 [82.1-86.1]","78.4 [75.8-80.8]","90.3 [88.7-91.6]"
"Portugal"," 2005","84.2 [82.1-86.1]","78.4 [75.9-80.8]","90.2 [88.6-91.6]"
"Portugal"," 2004","84.2 [82.1-86.1]","78.5 [75.9-80.8]","90.2 [88.5-91.6]"
"Portugal"," 2003","84.2 [82.0-86.1]","78.5 [75.9-80.9]","90.1 [88.5-91.5]"
"Portugal"," 2002","84.2 [82.0-86.1]","78.5 [75.9-80.9]","90.1 [88.4-91.5]"
"Portugal"," 2001","84.2 [82.0-86.1]","78.6 [75.9-81.0]","90.0 [88.3-91.5]"
"Qatar"," 2016","88.2 [85.9-90.2]","86.3 [83.7-88.5]","90.9 [89.0-92.5]"
"Qatar"," 2015","88.1 [85.8-90.1]","86.1 [83.5-88.4]","90.9 [89.0-92.5]"
"Qatar"," 2014","88.0 [85.7-90.0]","86.0 [83.4-88.2]","90.9 [89.0-92.5]"
"Qatar"," 2013","87.9 [85.6-89.9]","85.8 [83.2-88.1]","90.9 [89.0-92.5]"
"Qatar"," 2012","87.8 [85.5-89.8]","85.7 [83.1-88.0]","90.8 [88.9-92.4]"
"Qatar"," 2011","87.9 [85.6-89.9]","85.5 [82.9-87.8]","90.8 [88.9-92.4]"
"Qatar"," 2010","88.2 [85.9-90.1]","85.4 [82.8-87.7]","90.8 [88.9-92.4]"
"Qatar"," 2009","87.9 [85.6-89.9]","85.3 [82.6-87.6]","90.8 [88.9-92.4]"
"Qatar"," 2008","87.6 [85.3-89.7]","85.1 [82.4-87.4]","90.8 [88.8-92.4]"
"Qatar"," 2007","87.5 [85.1-89.5]","85.0 [82.2-87.3]","90.7 [88.8-92.4]"
"Qatar"," 2006","87.4 [85.0-89.5]","84.8 [82.0-87.2]","90.7 [88.8-92.4]"
"Qatar"," 2005","87.6 [85.2-89.7]","84.6 [81.9-87.1]","90.7 [88.7-92.4]"
"Qatar"," 2004","87.6 [85.2-89.7]","84.5 [81.7-87.0]","90.7 [88.7-92.3]"
"Qatar"," 2003","87.5 [85.0-89.6]","84.3 [81.4-86.8]","90.7 [88.6-92.3]"
"Qatar"," 2002","87.2 [84.7-89.4]","84.2 [81.2-86.7]","90.6 [88.6-92.3]"
"Qatar"," 2001","87.0 [84.5-89.2]","84.0 [81.0-86.6]","90.6 [88.5-92.3]"
"Republic of Korea"," 2016","94.2 [90.3-96.6]","91.4 [85.8-94.9]","97.2 [95.2-98.4]"
"Republic of Korea"," 2015","94.1 [90.2-96.5]","91.2 [85.6-94.8]","97.2 [95.1-98.4]"
"Republic of Korea"," 2014","94.0 [90.0-96.5]","91.1 [85.4-94.7]","97.2 [95.1-98.4]"
"Republic of Korea"," 2013","93.9 [89.9-96.4]","91.0 [85.2-94.6]","97.1 [95.0-98.4]"
"Republic of Korea"," 2012","93.8 [89.7-96.4]","90.8 [84.9-94.5]","97.1 [95.0-98.3]"
"Republic of Korea"," 2011","93.7 [89.6-96.3]","90.7 [84.7-94.4]","97.1 [94.9-98.3]"
"Republic of Korea"," 2010","93.6 [89.4-96.2]","90.5 [84.5-94.4]","97.0 [94.9-98.3]"
"Republic of Korea"," 2009","93.5 [89.3-96.2]","90.4 [84.2-94.3]","97.0 [94.9-98.3]"
"Republic of Korea"," 2008","93.4 [89.1-96.1]","90.2 [84.0-94.2]","97.0 [94.8-98.3]"
"Republic of Korea"," 2007","93.3 [89.0-96.1]","90.1 [83.8-94.1]","97.0 [94.8-98.3]"
"Republic of Korea"," 2006","93.2 [88.8-96.0]","89.9 [83.5-94.0]","96.9 [94.7-98.2]"
"Republic of Korea"," 2005","93.2 [88.7-96.0]","89.7 [83.3-93.9]","96.9 [94.7-98.2]"
"Republic of Korea"," 2004","93.0 [88.5-95.9]","89.6 [83.0-93.8]","96.9 [94.6-98.2]"
"Republic of Korea"," 2003","92.9 [88.3-95.8]","89.4 [82.7-93.7]","96.9 [94.5-98.2]"
"Republic of Korea"," 2002","92.8 [88.2-95.8]","89.2 [82.5-93.6]","96.8 [94.5-98.2]"
"Republic of Korea"," 2001","92.7 [88.0-95.7]","89.1 [82.2-93.5]","96.8 [94.4-98.2]"
"Republic of Moldova"," 2016","75.7 [71.8-79.2]","73.3 [69.3-76.9]","78.2 [74.4-81.5]"
"Republic of Moldova"," 2015","75.7 [71.9-79.2]","73.4 [69.5-76.9]","78.2 [74.5-81.5]"
"Republic of Moldova"," 2014","75.8 [72.1-79.2]","73.5 [69.6-77.0]","78.3 [74.6-81.5]"
"Republic of Moldova"," 2013","75.9 [72.2-79.2]","73.6 [69.8-77.0]","78.3 [74.7-81.5]"
"Republic of Moldova"," 2012","76.0 [72.3-79.3]","73.7 [70.0-77.1]","78.3 [74.7-81.5]"
"Republic of Moldova"," 2011","76.0 [72.4-79.3]","73.8 [70.2-77.1]","78.4 [74.8-81.6]"
"Republic of Moldova"," 2010","76.1 [72.6-79.3]","73.9 [70.3-77.2]","78.4 [74.9-81.6]"
"Republic of Moldova"," 2009","76.2 [72.7-79.4]","74.0 [70.5-77.2]","78.4 [74.9-81.6]"
"Republic of Moldova"," 2008","76.2 [72.8-79.4]","74.1 [70.6-77.3]","78.5 [75.0-81.6]"
"Republic of Moldova"," 2007","76.3 [72.8-79.5]","74.2 [70.7-77.3]","78.5 [75.0-81.6]"
"Republic of Moldova"," 2006","76.4 [72.9-79.5]","74.3 [70.9-77.4]","78.6 [75.1-81.7]"
"Republic of Moldova"," 2005","76.4 [73.0-79.6]","74.4 [71.0-77.5]","78.6 [75.1-81.7]"
"Republic of Moldova"," 2004","76.5 [73.1-79.6]","74.5 [71.1-77.6]","78.7 [75.2-81.8]"
"Republic of Moldova"," 2003","76.6 [73.2-79.7]","74.6 [71.2-77.7]","78.7 [75.2-81.8]"
"Republic of Moldova"," 2002","76.7 [73.2-79.8]","74.7 [71.3-77.8]","78.7 [75.2-81.9]"
"Republic of Moldova"," 2001","76.7 [73.3-79.9]","74.8 [71.4-77.9]","78.8 [75.2-81.9]"
"Republic of North Macedonia"," 2016","78.4 [75.1-81.4]","73.5 [69.8-77.0]","83.5 [80.6-86.1]"
"Republic of North Macedonia"," 2015","78.5 [75.2-81.4]","73.7 [70.0-77.0]","83.5 [80.6-86.1]"
