"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Belgium"," 2006","83.5 [81.4-85.4]","79.3 [76.9-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2005","83.5 [81.4-85.4]","79.3 [76.9-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2004","83.5 [81.4-85.4]","79.3 [76.9-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2003","83.5 [81.4-85.5]","79.3 [76.9-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2002","83.5 [81.4-85.5]","79.3 [76.9-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2001","83.5 [81.4-85.5]","79.3 [76.9-81.5]","87.9 [86.0-89.6]"
"Belize"," 2016","80.3 [77.5-82.8]","76.4 [73.3-79.2]","84.2 [81.7-86.3]"
"Belize"," 2015","80.4 [77.7-82.8]","76.6 [73.6-79.4]","84.2 [81.8-86.3]"
"Belize"," 2014","80.5 [77.9-82.9]","76.8 [73.9-79.5]","84.2 [81.9-86.3]"
"Belize"," 2013","80.6 [78.0-83.0]","77.0 [74.1-79.7]","84.2 [81.9-86.3]"
"Belize"," 2012","80.7 [78.2-83.1]","77.2 [74.4-79.8]","84.3 [82.0-86.3]"
"Belize"," 2011","80.8 [78.3-83.1]","77.4 [74.6-80.0]","84.3 [82.0-86.3]"
"Belize"," 2010","81.0 [78.4-83.2]","77.6 [74.9-80.1]","84.3 [82.1-86.3]"
"Belize"," 2009","81.1 [78.6-83.3]","77.8 [75.1-80.3]","84.3 [82.1-86.4]"
"Belize"," 2008","81.2 [78.7-83.4]","78.0 [75.3-80.5]","84.4 [82.1-86.4]"
"Belize"," 2007","81.3 [78.8-83.5]","78.2 [75.5-80.7]","84.4 [82.1-86.4]"
"Belize"," 2006","81.4 [78.9-83.6]","78.4 [75.7-80.9]","84.4 [82.2-86.4]"
"Belize"," 2005","81.5 [79.0-83.7]","78.6 [75.9-81.1]","84.4 [82.2-86.5]"
"Belize"," 2004","81.6 [79.1-83.9]","78.8 [76.1-81.3]","84.5 [82.2-86.5]"
"Belize"," 2003","81.7 [79.2-84.0]","79.0 [76.2-81.5]","84.5 [82.2-86.6]"
"Belize"," 2002","81.8 [79.3-84.1]","79.2 [76.4-81.7]","84.5 [82.2-86.6]"
"Belize"," 2001","81.9 [79.3-84.2]","79.3 [76.6-81.9]","84.5 [82.1-86.7]"
"Benin"," 2016","75.9 [72.0-79.5]","71.3 [67.1-75.2]","80.7 [77.1-83.8]"
"Benin"," 2015","76.2 [72.4-79.7]","71.8 [67.7-75.6]","80.7 [77.2-83.8]"
"Benin"," 2014","76.5 [72.8-79.9]","72.4 [68.3-76.0]","80.8 [77.3-83.9]"
"Benin"," 2013","76.8 [73.1-80.2]","72.9 [68.9-76.5]","80.8 [77.4-83.9]"
"Benin"," 2012","77.1 [73.5-80.4]","73.4 [69.5-76.9]","80.9 [77.4-83.9]"
"Benin"," 2011","77.4 [73.8-80.6]","73.9 [70.1-77.3]","80.9 [77.5-83.9]"
"Benin"," 2010","77.7 [74.1-80.9]","74.4 [70.7-77.8]","81.0 [77.6-84.0]"
"Benin"," 2009","78.0 [74.4-81.1]","74.9 [71.2-78.2]","81.0 [77.7-84.0]"
"Benin"," 2008","78.2 [74.8-81.3]","75.4 [71.8-78.6]","81.1 [77.7-84.0]"
"Benin"," 2007","78.5 [75.0-81.6]","75.9 [72.3-79.1]","81.1 [77.8-84.1]"
"Benin"," 2006","78.8 [75.3-81.8]","76.3 [72.8-79.5]","81.2 [77.8-84.1]"
"Benin"," 2005","79.0 [75.6-82.1]","76.8 [73.3-79.9]","81.2 [77.9-84.2]"
"Benin"," 2004","79.3 [75.9-82.3]","77.3 [73.8-80.4]","81.3 [77.9-84.3]"
"Benin"," 2003","79.5 [76.1-82.6]","77.7 [74.3-80.8]","81.4 [78.0-84.3]"
